gridRow	gridColumn	spotRow	spotColumn	Name	GeneId	GeneName	ClusterId	Annot
1	1	1	1	Q_GENE				
1	1	1	2	BLANK				
1	1	1	3	RC1-PT0027-011-D07	AW386757	SYP	Hs.75667	synaptophysin
1	1	1	4	RC1-CT0198-011-G12	AW375857	DEPDC6	Hs.87729	DEP domain containing 6
1	1	1	5	QV4-SN0024-181-A05	AW866577	ARID1B	Hs.436008	AT rich interactive domain 1B (SWI1-like)
1	1	1	6	QV0-ST0294-146-G09	AW819771	AREG	Hs.270833	amphiregulin (schwannoma-derived growth factor)
1	1	1	7	QV1-GN0319-526-F08	BG009559	GRB7	Hs.86859	growth factor receptor-bound protein 7
1	1	1	8	QV2-BT0636-444-A04	BF744399	TLOC1	Hs.158193	translocation protein 1
1	1	1	9	MR2-NT0136-009-F01	BF920775	SMPD1	Hs.77813	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)
1	1	1	10	PM0-OT0216-004-C07	BI044792	CBLB	Hs.436986	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
1	1	2	1	BLANK				
1	1	2	2	BLANK				
1	1	2	3	RC0-LT0001-031-C06	AW385297	ANGPTL2	Hs.8025	angiopoietin-like 2
1	1	2	4	RC2-BN0120-012-C12	BE005796	KIAA0483	Hs.64691	KIAA0483 protein
1	1	2	5	QV0-ET0151-473-F10	BF873449	TNFAIP1	Hs.76090	tumor necrosis factor, alpha-induced protein 1 (endothelial)
1	1	2	6	QV2-NN0045-410-G09	BF943497	DOCK7	Hs.406156	dedicator of cytokinesis 7
1	1	2	7	QV2-NN0045-507-E01	BF958613	TMEM10	Hs.12449	transmembrane protein 10
1	1	2	8	QV3-OT0064-230-G05	BE833238	NANS	Hs.274424	N-acetylneuraminic acid synthase (sialic acid synthase)
1	1	2	9	MR4-NN0204-001-C01	BF954536	DCTN1	Hs.74617	dynactin 1 (p150, glued homolog, Drosophila)
1	1	2	10	MR0-AN0083-002-C08	BF326181	CA14	Hs.192491	carbonic anhydrase XIV
1	1	3	1	RC2-TN0125-012-G07	BE844239	PECI	Hs.15250	peroxisomal D3,D2-enoyl-CoA isomerase
1	1	3	2	QV1-BT0182-520-H11	BF747501	SYPL	Hs.80919	synaptophysin-like protein
1	1	3	3	RC3-BT0661-022-F11	BE926764	SEC15L1	Hs.272374	SEC15-like 1 (S. cerevisiae)
1	1	3	4	RC0-EN0023-031-G03	BE826039	CLIC4	Hs.25035	chloride intracellular channel 4
1	1	3	5	QV4-GN0247-553-G01	BG002368	LIFR	Hs.446501	leukemia inhibitory factor receptor
1	1	3	6	QV1-BN0397-386-A09	BF082381	TRPV2	Hs.279746	transient receptor potential cation channel, subfamily V, member 2
1	1	3	7	MR3-FN0209-016-G12	BI046295	C13orf22	Hs.291431	chromosome 13 open reading frame 22
1	1	3	8	QV1-HT0516-107-F06	BE168732	BSCL2	Hs.438912	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)
1	1	3	9	MR1-NT0179-002-E03	BF920085	ACAD9	Hs.409209	acyl-Coenzyme A dehydrogenase family, member 9
1	1	3	10	PM0-HT1167-002-E08	BG987006	PBF	Hs.27410	papillomavirus regulatory factor PRF-1
1	1	4	1	RC2-UT0021-013-H09	BE698409	T1	Hs.416372	Tularik gene 1
1	1	4	2	CM3-NN0059-147-C02	AW897545	GPM6B	Hs.5422	glycoprotein M6B
1	1	4	3	RC2-GN0359-013-G09	BG015291	RAB17	Hs.44278	RAB17, member RAS oncogene family
1	1	4	4	CM2-HT0176-017-A08	AW367999	RNF13	Hs.6900	ring finger protein 13
1	1	4	5	QV4-BN0090-138-F05	BE002625	SNX6	Hs.283443	sorting nexin 6
1	1	4	6	QV4-NN1149-611-F03	BF958233	KIAA0934	Hs.116204	KIAA0934
1	1	4	7	MR3-OT0007-206-A12	AW878310	HNRPH3	Hs.156481	heterogeneous nuclear ribonucleoprotein H3 (2H9)
1	1	4	8	PM0-CN0155-001-D05	BG982355	NRP2	Hs.368746	neuropilin 2
1	1	4	9	MR0-GN0175-203-H01	BI057629	FSTL1	Hs.433622	follistatin-like 1
1	1	4	10	PM0-UT0103-001-F03	BF916545	FOXJ2	Hs.120844	forkhead box J2
1	1	5	1	QV2-HT0540-362-G05	BF087461	PLAU	Hs.77274	plasminogen activator, urokinase
1	1	5	2	CM3-CS0005-415-C01	BF763151	KIF21A	Hs.374201	kinesin family member 21A
1	1	5	3	CM3-FT0097-229-D02	BE771947	JM5	Hs.21753	JM5 protein
1	1	5	4	PM3-GN0375-005-B11	BC024258	ARHGDIA	Hs.159161	Rho GDP dissociation inhibitor (GDI) alpha
1	1	5	5	RC0-AN0041-022-E12	BE812324	SPTAN1	Hs.387905	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
1	1	5	6	RC2-HT0584-015-B06	AK024221	C40	Hs.30819	hypothetical protein C40
1	1	5	7	QV2-HT0685-260-C02	NM_024826	FLJ21159	Hs.512735	hypothetical protein FLJ21159
1	1	5	8	MR4-UT0052-101-B05	BC015547	UCK1	Hs.9597	uridine-cytidine kinase 1
1	1	5	9	MR0-GN0131-103-D07	BF994020	PGD	Hs.392837	phosphogluconate dehydrogenase
1	1	5	10	PM3-CT0645-002-B08	BG955856	PAPOLG	Hs.512697	poly(A) polymerase gamma
1	1	6	1	MR3-ST0220-104-G05	AF118395	TPRT	Hs.279865	trans-prenyltransferase
1	1	6	2	QV2-NT0146-468-A04	BF920354	CYP26B1	Hs.91546	cytochrome P450, family 26, subfamily B, polypeptide 1
1	1	6	3	CM3-HT0511-085-D09	BE167718	TGFB2	Hs.169300	transforming growth factor, beta 2
1	1	6	4	CM0-HT0677-354-G01	BE184402	SLPI	Hs.251754	secretory leukocyte protease inhibitor (antileukoproteinase)
1	1	6	5	CM2-HT0508-115-F02	BE167425	DBH	Hs.223858	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
1	1	6	6	QV2-ST0298-061-G05	BC029886	OCLN	Hs.171952	occludin
1	1	6	7	MR3-HN0062-006-G03	BI000598	KIF21B	Hs.169182	kinesin family member 21B
1	1	6	8	QV3-HT0514-119-G04	BE168307	CKLFSF4	Hs.325825	chemokine-like factor super family 4
1	1	6	9	PM3-ET0207-006-E02	AL161980		Hs.24022	MRNA; cDNA DKFZp761H1023 (from clone DKFZp761H1023)
1	1	6	10	PM0-CT0263-002-B01	AW361567	LOC51244	Hs.236257	hypothetical protein LOC51244
1	1	7	1	RC0-CT0470-033-E10	BE928089	ZFR	Hs.173518	zinc finger RNA binding protein
1	1	7	2	PM2-DT0042-004-A04	AW937281	ODF2	Hs.129055	outer dense fiber of sperm tails 2
1	1	7	3	CM0-CI0139-656-H06	BF802603	THAP9	Hs.409270	THAP domain containing 9
1	1	7	4	MR4-NT0140-201-G04	AK000476	C20orf111	Hs.75798	chromosome 20 open reading frame 111
1	1	7	5	RC2-ST0165-011-F06	AW811766	KIAA1078	Hs.23585	KIAA1078 protein
1	1	7	6	QV2-NN1194-452-F02	BF949779	KIAA1374	Hs.186547	KIAA1374 protein
1	1	7	7	CM1-HT0760-252-D12	BE716219	SQRDL	Hs.435468	sulfide quinone reductase-like (yeast)
1	1	7	8	MR1-RT0025-005-A04	BF822399	NTN4	Hs.102541	netrin 4
1	1	7	9	MR1-HT1064-009-A01	BF845020	TRIM2	Hs.435734	tripartite motif-containing 2
1	1	7	10	PM0-GN0498-004-B03	BI057815	DDOST	Hs.301882	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
1	1	8	1	QV0-OT0033-166-D06	AW880953	MYO1C	Hs.286226	myosin IC
1	1	8	2	CM0-BN0106-293-G07	BE004431	C13orf11	Hs.27337	chromosome 13 open reading frame 11
1	1	8	3	QV1-HT0517-148-E10	BE168869	PMPCA	Hs.75353	peptidase (mitochondrial processing) alpha
1	1	8	4	PM0-HN0073-002-D07	BI001909	EIF2B3	Hs.283627	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
1	1	8	5	RC0-HT0439-011-G10	AK000074	PLEKHA3	Hs.41086	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3
1	1	8	6	QV2-NN0045-547-D05	BF961718	MARK1	Hs.12808	MAP/microtubule affinity-regulating kinase 1
1	1	8	7	MR4-TN0116-101-E02	BF888312	GRPEL1	Hs.151903	GrpE-like 1, mitochondrial (E. coli)
1	1	8	8	QV3-BN0096-162-F12	BE003758	DDX21	Hs.169531	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
1	1	8	9	RC1-HT0417-011-H03	NM_001303	COX10	Hs.77513	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)
1	1	8	10	PM0-BT0649-001-E03	AK027844	GK001	Hs.8207	GK001 protein
1	1	9	1	RC2-UT0022-011-H02	BE698609	ITGAX	Hs.385521	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)
1	1	9	2	CM1-NN0211-474-D06	BF944968	13CDNA73	Hs.390874	hypothetical protein CG003
1	1	9	3	RC4-NT0058-014-B02	BF365859	SKIP	Hs.254129	SPHK1 (sphingosine kinase type 1) interacting protein
1	1	9	4	MR4-UM0021-007-F07	BE774699	HMGCR	Hs.11899	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
1	1	9	5	MR0-HT0559-003-H06	BE172062	EGFL5	Hs.236216	EGF-like-domain, multiple 5
1	1	9	6	QV4-CT0491-347-E05	AK023204	LAP1B	Hs.234265	lamina-associated polypeptide 1B
1	1	9	7	MR3-CN0147-013-B08	BG981983	MGST2	Hs.81874	microsomal glutathione S-transferase 2
1	1	9	8	RC2-BN0127-011-A08	AK001100	DSC3	Hs.41690	desmocollin 3
1	1	9	9	QV0-NN1142-412-B10	BF942957	ANK2	Hs.409783	ankyrin 2, neuronal
1	1	9	10	PM0-ET0155-001-E09	BF874611	PPP1R9B	Hs.110095	protein phosphatase 1, regulatory subunit 9B, spinophilin
1	1	10	1	RC2-ST0301-011-D02	AW820810	PXK	Hs.77646	PX domain containing serine/threonine kinase
1	1	10	2	CM2-CI0135-491-B12	BF807334	DKFZP434F091	Hs.443081	DKFZP434F091 protein
1	1	10	3	CM3-NT0090-171-H10	AW891721	STIM2	Hs.278894	stromal interaction molecule 2
1	1	10	4	RC1-BT0254-114-C10	AF062536	CUL1	Hs.348153	cullin 1
1	1	10	5	RC0-HT0012-002-B03	AI834250	MKNK1	Hs.79516	MAP kinase-interacting serine/threonine kinase 1
1	1	10	6	QV4-GN0122-583-E06	BG006701	KIAA0882	Hs.411317	KIAA0882 protein
1	1	10	7	QV3-TN0167-428-H09	BF887407	MYST4	Hs.27590	MYST histone acetyltransferase (monocytic leukemia) 4
